name;operator;network;wheelchair;geom
Drosselstieg;;;;0101000020E6100000A5750AA8261F2440BA0E7ADBF1D54A40
Sandkuhlenkoppel;;;;0101000020E6100000013274ECA022244077E2CD7575D54A40
Sandkuhlenkoppel;;;;0101000020E6100000D3B540CC6F22244091C9F32A7CD54A40
Heidkamp;;;;0101000020E610000027B8A2DE9D1E24402AEF99DB73D44A40
U Buchenkamp;;;;0101000020E6100000330C699E6D5F2440D84D29AF95D34A40
Uppenhoff;;;;0101000020E6100000091280249152244040D12B54EDD24A40
Ahrensburger Platz;;;;0101000020E61000000BC8A87C195A244096BC9580F3D34A40
Högenkamp;;;;0101000020E6100000E5DF1DCF1D1F244049D85CDA15D44A40
Buchenstieg;;;;0101000020E61000009BFE918E175F2440793CD285FDD24A40
Cornehlsweg;;;;0101000020E61000006A807797305B24408470BB86CFD24A40
Foßredder;;;;0101000020E61000009E825726575824402E40DB6AD6D24A40
Gussau;;;;0101000020E610000014CE6E2D935924401DF22AC654D44A40
Landahlweg;;;;0101000020E61000002EA1CC50261F24401BF8510DFBD34A40
Herkenkrug;;;;0101000020E6100000C6BE092A4F5D2440EC048FCAA8D24A40
Moorredder;;;;0101000020E610000016C6713B8F5D24404646072461D44A40
Wiesenhöfen;;;;0101000020E6100000FC912232AC5624406F7A617CE2D24A40
Leuteritzweg;;;;0101000020E61000004938E3EAB61E244098491E9958D44A40
Minsbekweg;;;;0101000020E6100000CA61E6F16A272440FAD7F2CAF5D34A40
Müssenredder (Mitte);;;;0101000020E6100000491FA974662524404409E9DFE4D34A40
Müssenredder (Mitte);;;;0101000020E6100000F51263997E252440748D85D7E4D34A40
Rehmbrook;;;;0101000020E6100000CEA78E554A2724401B18D41286D44A40
Rehmbrook;;;;0101000020E61000000C08AD872F272440807335689ED44A40
Tegelsbarg (Nord);;;;0101000020E61000003EE53D737B1E2440515A6E1FA8D44A40
Ulzburger Straße;;;;0101000020E6100000214C4002352724402242B7F2EDD44A40
Ulzburger Straße;;;;0101000020E61000008EF3925A832624407429AE2AFBD44A40
Vörstekoppel;;;;0101000020E61000008C2E145564292440649813B4C9D44A40
Vörstekoppel;;;;0101000020E6100000AB1ACE46F8282440D4B25A05D6D44A40
Gewerbepark Merkur (Süd);;;;0101000020E610000078FD385096602440B9E4B8533ACD4A40
Brombeerweg;;;;0101000020E6100000715EF7B1DD6C2440F62C639EF0D14A40
Dänenweg;;;;0101000020E6100000F69E2523C26E2440E33CF779E7D14A40
Dänenweg;;;;0101000020E610000000694991C66E2440B9414871E9D14A40
Eidelstedt;;;;0101000020E61000000776A15E95D02340746781D140CC4A40
Eidelstedt Zentrum;;;;0101000020E610000015BF73396FCD2340FD602A4712CE4A40
Alter Berner Weg;;;;0101000020E610000013222A9EC43D2440788368AD68D24A40
Alter Berner Weg;;;;0101000020E6100000A0234D17BD3E2440E2C6D22C75D24A40
Am Pfeilshof;;;;0101000020E61000001A332EC14E322440C52F0620FFD14A40
Am Pfeilshof;;;;0101000020E6100000DC1AC7FE6832244017DA39CD02D24A40
Frahmredder;;;;0101000020E6100000E368D839173424408BA07B20C3D24A40
Frahmredder;;;;0101000020E61000007D9175DD00342440F40E01D1DDD24A40
Pfeilshofer Weg;;;;0101000020E6100000848CDBC3B93124406EA983BC1ED24A40
Pfeilshofer Weg;;;;0101000020E6100000BB08F8DAD8312440526342CC25D24A40
S Wellingsbüttel;;;;0101000020E61000001B70F14B582A2440E4B3869C08D24A40
